Item,Label,ID,Preamble,CriticalCond,CriticalWord,InterveningCond,Intervening,FinalPunct,Predicate,sentence,Plausibility
0,2.Control,6,The boy,2,licked,long,the big round,.,breath,The boy licked the big round breath .,implausible
1,Control.1,17,His,Control,house,long,was apparently no longer,.,performing live,His house was apparently no longer performing live .,implausible
2,Control.2,28,In the,Control,pebble,long,were a wide range of,.,flowers from my mom,In the pebble were a wide range of flowers from my mom .,implausible
3,Typo1.1,39,She got a lovely,Typo1,faan,long,while spending some time in the,.,gift shop this morning,She got a lovely faan while spending some time in the gift shop this morning .,implausible
4,Typo2.2,50,The,Typo2,cxare,long,that was provided by the,.,doctor was excellent,The cxare that was provided by the doctor was excellent .,implausible
5,1.1,51,The doctor,1,wired,long,the heavily sedated patient's,.,jaws shut during the surgery,The doctor wired the heavily sedated patient's jaws shut during the surgery .,plausible
6,1.2,62,Can you please,1,dip,long,that big black,?,bag up,Can you please dip that big black bag up ?,implausible
7,1.Control,73,The student,1,scored,long,a very difficult,.,cushion,The student scored a very difficult cushion .,implausible
8,2.1,84,The,2,fires,long,were quickly and efficiently,.,pumped up by the mechanic,The fires were quickly and efficiently pumped up by the mechanic .,implausible
9,2.2,95,The,2,beers,long,were last seen,.,chilling in the freezer,The beers were last seen chilling in the freezer .,plausible
10,2.Control,106,The driver,2,pumped,long,the bright red,.,inequality,The driver pumped the bright red inequality .,implausible
11,Control.1,117,Why did you,Control,drink,long,your really nice,?,beard for no reason,Why did you drink your really nice beard for no reason ?,implausible
12,Control.2,128,The,Control,carpets,long,were unexpectedly,.,hatched on Monday,The carpets were unexpectedly hatched on Monday .,implausible
13,Typo1.1,139,I watched as a ,Typo1,tiune,long,was quite masterfully,.,played by the pianist,I watched as a  tiune was quite masterfully played by the pianist .,implausible
14,Typo2.2,150,The doctor sees patients with,Typo2,meatl,long,or other kinds of,.,fragments in their bodies,The doctor sees patients with meatl or other kinds of fragments in their bodies .,implausible
15,1.1,151,With two strong,1,wings,long,this very powerful,.,bird can fly for hours,With two strong wings this very powerful bird can fly for hours .,plausible
16,1.2,162,These,1,bills,long,definitely appear to be,.,"steep, unfortunately","These bills definitely appear to be steep, unfortunately .",implausible
17,1.Control,173,The,1,facts,long,and other details of the,.,flutes were loud,The facts and other details of the flutes were loud .,implausible
18,2.1,184,The rules state that the,2,lower,long,of the two relevant,.,matches would be eliminated,The rules state that the lower of the two relevant matches would be eliminated .,implausible
19,2.2,195,The,2,garage,long,definitely needs to be,.,renovated due to its leaks,The garage definitely needs to be renovated due to its leaks .,plausible
20,2.Control,206,This,2,wine,long,is most definitely,.,emotional,This wine is most definitely emotional .,implausible
21,Control.1,217,Thank you for,Control,being,long,such good,.,care of her yesterday,Thank you for being such good care of her yesterday .,implausible
22,Control.2,228,After being,Control,drawn,long,carefully in the small,.,"jar, the jam was sold","After being drawn carefully in the small jar, the jam was sold .",implausible
23,Typo1.1,239,Because of all the,Typo1,traets,long,my dog has become very ,.,overweight and unhealthy,Because of all the traets my dog has become very  overweight and unhealthy .,implausible
24,Typo2.2,250,The,Typo2,catr,long,contained lots of,.,fruits and vegetables,The catr contained lots of fruits and vegetables .,implausible
25,1.1,251,These,1,saints,long,had been talked about and,.,venerated by the worshippers,These saints had been talked about and venerated by the worshippers .,plausible
26,1.2,262,She knew how to,1,untie,long,every single one of the,.,community members,She knew how to untie every single one of the community members .,implausible
27,1.Control,273,Are you able to,1,reverse,long,both of these,?,pigeons,Are you able to reverse both of these pigeons ?,implausible
28,2.1,284,The documents were,2,sorted,long,by the intern in,.,filing cabinets,The documents were sorted by the intern in filing cabinets .,implausible
29,2.2,295,He was ,2,tried,long,a long while after his,.,arrest and indictment,He was  tried a long while after his arrest and indictment .,plausible
30,2.Control,306,My friend is,2,craving,long,a massive,.,computer,My friend is craving a massive computer .,implausible
31,Control.1,317,She,Control,sang,long,every single one of the,.,chicken nuggets,She sang every single one of the chicken nuggets .,implausible
32,Control.2,328,The,Control,cake,long,that was located in the,.,woods attracted hikers and campers,The cake that was located in the woods attracted hikers and campers .,implausible
33,Typo1.1,339,Unlike the,Typo1,mmales,long,we discovered that the,.,females have dull feathers,Unlike the mmales we discovered that the females have dull feathers .,implausible
